B2,B4,Turn,Unit,Poss_labels,Reason,Label Types
20180723-100855_385_live,1,2,I wish everyone was equally ok and I know that everybit counts,ERPos+,1c,
20180723-100855_385_live,0,3,It is a great relief that there are people like you who still cares.,EEPos+,2a,
20180723-100855_385_live,1,3,Oh yeah!,ERPos+,1e,
20180723-100855_385_live,1,3,Many people should be like that,ERPos+,1e,
20180723-100855_385_live,0,4,"Yes, it may be little as the price of a candy.",EEPos+,2b,
20180723-100855_385_live,0,4,But it still makes the ripple effect in many lives.,EEPos+,2b,
20180723-100855_385_live,1,4,How many people are currently donating?,ERNeg-,8,
20180723-100855_385_live,0,5,42% of their funding is from US.,,,
20180723-100855_385_live,0,5,"National, State & Local Govs, 20% from UN & Other Multi-Lateral Funding Institutions, 19% from Individuals like you and me, 11% from corporations, 7% from Foundations and 1% from other sources.",,,
20180723-100855_385_live,0,5,You can get further details from URL,,,
20180723-100855_385_live,1,5,Oh OK!,,,
20180723-100855_385_live,1,5,I will look into that.,,,
20180723-100855_385_live,1,5,So what do I need to donate?,,,
20180723-100855_385_live,0,6,Your donation will be directly deducted from your task payment.,,,
20180723-100855_385_live,0,6,You can choose any amount from $0 to all your payment.,EENeg+,3a,
20180723-100855_385_live,1,6,Ok cool!,,,
20180723-100855_385_live,1,6,It's nice to know that people are donating to such a great cause,ERPos+,1e,
20180723-100855_385_live,0,7,How much do you like to donate to the charity now?,EENeg-,4b,
20180723-100855_385_live,0,7,The research team will collect all donations and send it to Save the Children.,,,
20180723-100855_385_live,1,7,Unfortunately I can't donate anything right now,EENeg+,3c,
20180723-100855_385_live,0,8,ohh that is really sad to hear.,EEPos+,2c,
20180723-100855_385_live,0,8,You can donate as little as you want.,EENeg-,4b,
20180723-100855_385_live,0,8,But it will make a huge difference for those in need.,EEPos+,2b,
20180723-100855_385_live,1,8,I will keep that in mind.,,,
20180723-100855_385_live,1,8,When I get my next paycheck I will go to the website and donate.,ERPos+,1c,
20180723-100855_385_live,1,8,Thank you for filling me in on information regarding the charity,,,
20180723-100855_385_live,0,9,That is very thoughtful of you.,EEPos+,2a,
20180723-100855_385_live,0,9,Appreciate your consideration of doing such an act for a greater course.,EEPos+,2a,
20180723-100855_385_live,1,9,Of course!,,,
20180723-100855_385_live,1,9,Hope you have an amazing rest of the day,,,
20180825-061105_792_live,0,0,Hello.,,,
20180825-061105_792_live,1,0,Hello!,,,
20180825-061105_792_live,0,1,"I am supposed to ask you if you care about people being killed in Syria and things like that, I don't want to cause you any emotional discomfort by talking about suffering people.",,,
20180825-061105_792_live,0,1,Is that okay?,EENeg-,4a,
20180825-061105_792_live,0,1,To talk about suffering people and children for a minute?,EENeg-,4a,
20180825-061105_792_live,1,1,I will have no discomfort discussing suffering people.,ERPos+,1c,
20180825-061105_792_live,0,2,"I think the refugee crisis is crazy, I am not sure what I would do if I was raising my kids in Syria.",,,
20180825-061105_792_live,0,2,If anyone could have fun in those spots it's kids though.,,,
20180825-061105_792_live,1,2,I feel really torn about the crisis.,ERPos+,1e,
20180825-061105_792_live,1,2,I don't think the weight of that burden should fall on the rest of the worlds shoulders.,ERPos-,5a,
20180825-061105_792_live,1,2,At the same time as a parent I would want the best possible future for my children and I know fiercly that I would do everything in my power to make sure they were in a safe place.,ERPos+,1e,
20180825-061105_792_live,0,3,I actually didn't think of it like that.,EEPos-,7,
20180825-061105_792_live,0,3,"I am a parent too, it feels so foreign what they are going through.",,,
20180825-061105_792_live,0,3,"This whole chat thing is supposed to get me to get you to donate to Save the Children, but now I think they got me to do it instead!",,,
20180825-061105_792_live,0,3,I don't know if that's really okay to do though.,,,
20180825-061105_792_live,1,3,I always wonder how much of donations actually go where ear marked.,ERPos-,5a,
20180825-061105_792_live,1,3,"I see on the local level how much of donations stay local and what gets spent on things I would call ""stupid"".",ERPos-,5a,
20180825-061105_792_live,1,3,I am always worried if I donate it will just go to some higer up that is living the high life.,ERPos-,5a,
20180825-061105_792_live,1,3,Sorry Im getting off topic.,ERNeg+,6,
20180825-061105_792_live,0,4,"No, that's relevant.",EEPos+,2c,
20180825-061105_792_live,0,4,Really relevant.,EEPos+,2c,
20180825-061105_792_live,0,4,It's really easy to get cynical about life and if people really benefit from any of this.,,,
20180825-061105_792_live,0,4,I usually donate in hopes I can at least feel like I did my part.,,,
20180825-061105_792_live,0,4,"If I donated and some corrupt person took it, that's the worst karma and even worst scandal imaginable.",,,
20180825-061105_792_live,0,4,The people who donate and people who are worrying about that are the same people.,,,
20180825-061105_792_live,0,4,"You're not a horrible person it sounds like, just worried if what you do even matters.",,,
20180825-061105_792_live,1,4,With that all said I do feel like any orginazation that aims to help the children I am more inclined to donate to them than most.,ERPos+,1c,
20180825-061105_792_live,1,4,My boss has a sponsored child that she sends money to every month.,,,
20180825-061105_792_live,1,4,SHe picked out a child with the same birth month as one of her kids.,,,
20180825-061105_792_live,1,4,I think helping children is an important thing as they are our future!,ERPos+,1c,
20180825-061105_792_live,0,5,I feel like you are smart enough and definitely moral enough to be the boss.,,,
20180825-061105_792_live,0,5,I hope you have success in your field.,,,
20180825-061105_792_live,0,5,I don't have that great of a job or boss but I'd still I would like to match a donation with you if you're willing to try help kids with me.,EEPos+,2b,
20180825-061105_792_live,0,5,"I am parent and I feel like I need extra help sometimes too , but knowing that I could REALLY help them makes feel like a better parent.",,,
20180825-061105_792_live,1,5,I think donating to this cause would def be a step in the right direction to hopefully helping across the world the children that are in dispair.,ERPos+,1e,
20180825-061105_792_live,1,5,They are the weak ones in my eyes.,,,
20180825-061105_792_live,0,6,"I don't want you to donate any more than you want, so if you want to donate how much do you to do?",EENeg-,4b,
20180825-061105_792_live,0,6,I think any amount you give (especially more) will definitely help and I want you to know that it would be deducted from you task payment.,EEPos+,2b,
20180825-061105_792_live,0,6,"Whatever you choose to do or the amount you want to give, I feel like you've changed my mind about charity, not the other way around, so I want to thank you for that.",EEPos+,2b,
20180825-061105_792_live,1,6,I think its just the perspective of the person but we all inheriently want to help as much as we can.,,,
20180825-061105_792_live,1,6,I would donate half of this hit payment to this charity and feel good about it I think.,ERPos+,1c,
20180825-061105_792_live,0,7,"If you're doing this task then you might be able to afford it, but if you can I'd probably say you should really donate it all just this one time.",EENeg-,1c,
20180825-061105_792_live,0,7,"So whatever you donate I can donate as well, and can actually help each other donate to the kids.",EEPos+,2b,
20180825-061105_792_live,0,7,You want to match all our payment to Save the Children?,EENeg-,4c,
20180825-061105_792_live,0,7,Would that be okay?,EENeg-,4c,
20180825-061105_792_live,0,7,Or should we lock in your half payment?,EENeg-,4b,
20180825-061105_792_live,1,7,I think I would feel good about half and if you are inclined to donate as well that would be fabulous.,"ERPos+
",1c,
20180825-061105_792_live,1,7,I would lock into half.,ERPos+,1c,
20180825-061105_792_live,0,8,Sure let's do it.,,,
20180825-061105_792_live,0,8,"I might donate a little more I don't know how to do that but, I think they deserve it, I'm convince by talking to you that people regardless of how they feel about refugees that they can still care about kids.",,,
20180825-061105_792_live,1,8,I agree if we don't take care of the kids we risk losing a whole generation of people!,ERPos+,1e,
20180825-061105_792_live,0,9,"Oh, I didn't think of it like that either.",,,
20180825-061105_792_live,0,9,"I always picture like you said about your boss, one kid.",,,
20180825-061105_792_live,0,9,"But you're right it's a whole generation, that's A LOT of people.",EEPos+,2c,
20180825-061105_792_live,0,9,"I always forget that kids turn into adults, i mean not that part, but the whole part where they are all apart of the community! :)",,,
20180825-061105_792_live,1,9,Thanks for talking me thru this today!,,,
20180825-061105_792_live,1,9,It is been enlightning!,,,
20180825-065411_526_live,0,0,will you donate some of your payment to save the children?,EENeg-,4b,
20180825-065411_526_live,1,0,"Yes, I would donate some of my payment to help save children.",ERPos+,1c,
20180825-065411_526_live,1,0,How about you?,,,
20180825-065411_526_live,1,0,Are we supposed to mutually agree to both give a certain amount?,,,
20180825-065411_526_live,0,1,No but this doesn't end till you do.,,,
20180825-065411_526_live,0,1,You have to name a specific amount then I match it.,EENeg-,4b,
20180825-065411_526_live,0,1,Do small I think,,,
20180825-065411_526_live,1,1,I would be willing to give 10 cents of the 30 cent payment to help save children.,ERPos+,1c,
20180825-065411_526_live,0,2,The research team will collect all donations and send it to Save the Children.,,,
20180825-065411_526_live,1,2,I'm good with them doing that.,,,
20180825-065411_526_live,1,2,Like mentioned I'm willing to give 10 cents of the 30 cents.,ERPos+,1c,
20180825-065411_526_live,0,3,The research team will collect all donations and send it to Save the Children.,,,
20180825-065411_526_live,1,3,Are you willing to match my 10 cent donation to Save the Children,,,
20180825-065411_526_live,0,4,Yes I will match your 10 cent donation,ERPos+,1b,
20180825-065411_526_live,1,4,"Okay, so we are in agreement on the amount and donating, what else do we need to discuss?",,,
20180825-065411_526_live,1,4,More about the charity?,,,
20180825-065411_526_live,1,4,The instructions weren't super clear on my end.,,,
20180825-065411_526_live,0,5,Mine either.,,,
20180825-065411_526_live,0,5,Gah!,,,
20180825-065411_526_live,0,5,I just copied and pasted what they said.,,,
20180825-065411_526_live,0,5,"maybe say ""I will donate .10 of my .30 payment.""",,,
20180825-065411_526_live,1,5,I will donate 10 cents of my 30 cent payment.,,,
20180825-065411_526_live,1,5,"You should type the same thing and if perhaps if you know anything about the charity, share it?",,,
20180825-065411_526_live,0,6,This is a great charity and I will match you .10 cent payment.,ERPos+,"1a, 1b",
20180825-065411_526_live,1,6,"Okay, so we are in agreement on the payment to the charity.",,,
20180825-065411_526_live,1,6,I assume save the children would be able helping children in three world countries.,,,
20180825-065411_526_live,1,6,I wish they were way more specific in the instructions on both ends.,,,
20180825-065411_526_live,0,7,"Aha their are 10 minimum chat turns required, we are almost there.",,,
20180825-065411_526_live,0,7,I will match .10 cents,ERPos+,1b,
20180825-065411_526_live,1,7,"oh, I didn't know that I just assumed if we reached an agreement before that they would let us advance.",,,
20180825-065411_526_live,1,7,What do you know about this charity?,,,
20180825-065411_526_live,0,8,It supports childrens rights worldwide.,ERPos+,1a,
20180825-065411_526_live,0,8,The research team will collect all donations and send it to Save the Children,,,
20180825-065411_526_live,1,8,oh so specifically in third world countries were they are mistreated or does it include first world countries as well?,ERNeg-,8,
20180825-065411_526_live,0,9,Yes working in Syria right now.,,,
20180825-065411_526_live,0,9,The research team will collect all donations and send it to Save the Children,,,
20180825-065411_526_live,1,9,"Yes, they need all the help they can get there after the missiles and chemical attacks",ERPos+,1e,
20180825-075611_866_live,0,0,Hello how are you this morning.,,,
20180825-075611_866_live,1,0,"I'm good, and you?",,,
20180825-075611_866_live,0,1,"I'm very well, thank you.",,,
20180825-075611_866_live,0,1,Well the reason I'm contacting you is because I'm trying to find donors for the Save the Children foundation.,,,
20180825-075611_866_live,0,1,"Your donation will help ensure children's rights to health, education and safety.",EEPos+,2b,
20180825-075611_866_live,0,1,Your donation can help children in need reach their full potential and what's really more important that our children as they are our future.,EEPos+,2b,
20180825-075611_866_live,1,1,How much money are you looking for?,,,
20180825-075611_866_live,0,2,Any amount of donation would help in this cause.,EENeg+,3a,
20180825-075611_866_live,0,2,It's surprising how little can make an impact on these kids.,EEPos+,2b,
20180825-075611_866_live,0,2,The amount of donation is completely up to you,,,
20180825-075611_866_live,1,2,How much of my donation goes to the kids,ERNeg-,8,
20180825-075611_866_live,0,3,Everything you donate will go to the save the children foundation.,,,
20180825-075611_866_live,1,3,What kind of supplies does my donation provide,ERNeg-,8,
20180825-075611_866_live,0,4,The supplies vary based on need.,,,
20180825-075611_866_live,0,4,Right now they are funding medical and school supplies for kids.,ERPos+,1a,
20180825-075611_866_live,0,4,As well as preparing a fund to help with whatever damage comes from the hurricane that is bearing down on Hawaii right now.,ERPos+,1a,
20180825-075611_866_live,1,4,So if this just for children in America?,ERNeg-,8,
20180825-075611_866_live,0,5,"No, they do help children all over the world.",ERPos+,1a,
20180825-075611_866_live,0,5,"Such as children in Syria who have lost everything from parents to homes due to the conflict they are experiencing, children in Africa who have been orphaned and just need care,",ERPos+,1a,
20180825-075611_866_live,1,5,"Id like to make a donation, how do I do that",ERPos+,1c,
20180825-075611_866_live,0,6,You can choose to donate your some or all of your payout from this task.,,,
20180825-075611_866_live,0,6,The agreement will be recorded from this chat and deducted from your account.,,,
20180825-075611_866_live,1,6,What if i'd like to donate more,,,
20180825-075611_866_live,0,7,You can always donate more at URL,ERPos+,1a,
20180825-075611_866_live,1,7,I think I'd like to donate 0.05,ERPos+,1c,
20180825-075611_866_live,0,8,Ok I understand that you would like to donate .05 of your payout to save the children.,,,
20180825-075611_866_live,0,8,Thank you so much as every little counts and I appreciate your donation,EEPos+,2a,
20180825-075611_866_live,1,8,"You're welcome, is there anything else that I can do to help",,,
20180825-075611_866_live,0,9,Nope that would be all for today.,,,
20180825-075611_866_live,0,9,Thank you for supporting the children of the world.,EEPos+,2a,
20180825-075611_866_live,1,9,Great.,,,
20180825-075611_866_live,1,9,Thanks for the oppertunity.,,,
20180825-080802_964_live,0,0,"Hi, good morning!",,,
20180825-080802_964_live,1,0,Hello!,,,
20180825-080802_964_live,0,1,Were you able to read a little about the charity Save the Children?,,,
20180825-080802_964_live,1,1,"No, I didn't see anything.",,,
20180825-080802_964_live,1,1,I'm a little familiar with the charity though.,ERPos+,1d,
20180825-080802_964_live,0,2,"Oh, awesome!",EEPos+,2c,
20180825-080802_964_live,0,2,"Well, in case you didn't know, Save the Children is a great charity that focuses on helping kids around the world.",ERPos+,1a,
20180825-080802_964_live,0,2,"They use almost 90% of all donations directly to help children in the areas of education, safety and emergency...",ERPos+,1a,
20180825-080802_964_live,1,2,That's good to know that almost 90 percent of all donations go directly to help children.,ERPos+,1d,
20180825-080802_964_live,1,2,We know it's a problem not just in the United States.,ERPos+,1e,
20180825-080802_964_live,0,3,"Yes, exactly.",EEPos+,2c,
20180825-080802_964_live,0,3,I'm not a fan of charities that keep a lot of their proceeds for themselves.,ERPos+,1a,
20180825-080802_964_live,0,3,That's one reason I really like this one.,ERPos+,1a,
20180825-080802_964_live,0,3,Do you think you would be willing to make a small donation to Save the Children today?,EENeg-,4b,
20180825-080802_964_live,1,3,I most likely will.,ERPos+,1c,
20180825-080802_964_live,1,3,"I would like to read some more information, probably on their website, then donate from there.",ERPos+,1c,
20180825-080802_964_live,1,3,How do they help children in other parts of the world?,ERNeg-,8,
20180825-080802_964_live,0,4,"Well, I know that the research team for this task can take a portion of our payment and send it directly to the Save the Children.",EENeg+,3a,
20180825-080802_964_live,0,4,"It's quick and easy, and even thought it may not seem like a lot of money, I think that every penny counts.",EENeg+,3a,
20180825-080802_964_live,0,4,I believe we can contribute any portion of our payment: $0 - 0.30.,EENeg+,3a,
20180825-080802_964_live,1,4,That would be alright.,,,
20180825-080802_964_live,1,4,"Yes, I would like to donate at least one dollar to help Save the Children.",ERPos+,1c,
20180825-080802_964_live,0,5,Oh great!,EEPos+,2a,
20180825-080802_964_live,0,5,"I don't know if there is a maximum we can contribute, but regardless, I think your support would be really appreciated.",EEPos+,2a,
20180825-080802_964_live,1,5,I've heard on the news that many children around the world are with their families trying to escape wars.,,,
20180825-080802_964_live,1,5,I'm sure Save the Children helps them?,ERNeg-,8,
20180825-080802_964_live,0,6,I believe so.,,,
20180825-080802_964_live,0,6,"In places like the middle east or southern Asia, even the smallest donation can go a long way.",ERPos+,1a,
20180825-080802_964_live,1,6,"Yes, I agree.",ERPos+,1e,
20180825-080802_964_live,1,6,It's difficult to watch the horrible things these children are going through.,,,
20180825-080802_964_live,1,6,Our children and grandchildren are so blessed.,,,
20180825-080802_964_live,0,7,"Yes, that's so true.",EEPos+,2c,
20180825-080802_964_live,0,7,"I really wish more people could understand the importance of helping other, less fortunate then ourselves.",,,
20180825-080802_964_live,1,7,"So, Save the Children has somehow eliminated a high overhead cost.",ERPos+,1d,
20180825-080802_964_live,1,7,Good for them.,ERPos+,1d,
20180825-080802_964_live,1,7,"I wish other charities would follow, especially local ones.",,,
20180825-080802_964_live,0,8,"I believe they've been around for almost 100 years, so hopefully they have a pretty effecient organization.",ERPos+,1a,
20180825-080802_964_live,0,8,"I completely understand that some expenses do occur in a non-profit, but with 90% going directly to the children, I feel pretty good about it.",ERPos+,1a,
20180825-080802_964_live,1,8,Ok.,,,
20180825-080802_964_live,1,8,"I'm ready to donate, tell me how!",ERPos+,1c ,
20180825-080802_964_live,0,9,Nice!,EEPos+,2a,
20180825-080802_964_live,0,9,"I think we just have to wrap up our conversation, then the task organizers will automatically deduct our donations.",,,
20180825-080802_964_live,0,9,Thanks again for supporting such a great cause! :),EEPos+,2a,
20180825-080802_964_live,1,9,No problem.,,,
20180825-080802_964_live,1,9,I'm always about children.,EEPos+,2e,
20180825-080802_964_live,1,9,"I agree, this is a good cause.",ERPos+,1e,
20180825-080802_964_live,1,9,It was great chatting with you.,,,
20180825-080802_964_live,1,9,Have a great weekend!,,,
20180825-080802_964_live,0,10,It was great chatting with you.,,,
20180825-080802_964_live,0,10,Have a great weekend! :),,,
20180826-175345_318_live,0,0,Hi!,,,
20180826-175345_318_live,0,0,I am recommending that you donate to a kids charity,EENeg-,4b,
20180826-175345_318_live,1,0,"Yeah, what do you think about St Jude's?",,,
20180826-175345_318_live,0,1,I recommend Save the Children children's charity.,ERPos+,1a,
20180826-175345_318_live,1,1,That's wonderful!,ERPos+,1e,
20180826-175345_318_live,1,1,Do you have any specific country in mind?,,,
20180826-175345_318_live,0,2,No but I can tell you about the charity!,,,
20180826-175345_318_live,1,2,Sure!,ERPos+,1c,
20180826-175345_318_live,1,2,I'd love to hear more.,ERPos+,1c,
20180826-175345_318_live,1,2,Go on...,ERPos+,1c,
20180826-175345_318_live,0,3,Save the Children is important because it supports protecting kids' rights to education and health and safety,ERPos+,1a,
20180826-175345_318_live,1,3,Have you ever sponsored a child?,,,
20180826-175345_318_live,1,3,"If so, how much does it take to take care of a sweet child on average?",,,
20180826-175345_318_live,0,4,The usual cost is about $36 per child.,,,
20180826-175345_318_live,0,4,"I have not yet through this charity, but it is my charity of choice for my next sponsored child",ERPos+,1b,
20180826-175345_318_live,1,4,That's actually quite reasonable!,ERPos+,1e,
20180826-175345_318_live,1,4,I doesn't cost much.,,,
20180826-175345_318_live,1,4,I hope they allow for pen pals as well.,,,
20180826-175345_318_live,1,4,Sounds like a blessed organization.,,,
20180826-175345_318_live,0,5,Yes it does.,ERPos+,1a,
20180826-175345_318_live,0,5,Their website is URL if you would like to read more,ERPos+,1a,
20180826-175345_318_live,1,5,I definitely.,,,
20180826-175345_318_live,1,5,I recognize it too.,ERPos+,1d,
20180826-175345_318_live,1,5,They do lots of TV adverts.,,,
20180826-175345_318_live,1,5,I believe its a Christian organization.,,,
20180826-175345_318_live,0,6,Yes.,,,
20180826-175345_318_live,0,6,How much do you like to donate to the charity?,EENeg-,4b,
20180826-175345_318_live,1,6,I think maybe $30 when I get my check next Tuesday.,ERPos+,1c,
20180826-175345_318_live,0,7,Ok well you can actually donate from your task payment here!,EENeg+,3a,
20180826-175345_318_live,0,7,You can choose any amount from $0 to all of your payment,EENeg+,3a,
20180826-175345_318_live,1,7,"Yes, I might have to wait until my check arrives.",EEPos+,2d,
20180826-175345_318_live,1,7,It's on my to-do list though.,EEPos+,2d,
20180826-175345_318_live,1,7,How much are you donating?,,,
20180826-175345_318_live,0,8,I really recommend that you donate some!,EENeg-,4b,
20180826-175345_318_live,0,8,I am doing my full payment.,ERPos+,1b,
20180826-175345_318_live,0,8,The research team will collect all donations and send it to Save the Children.,,,
20180826-175345_318_live,1,8,Absolutely!,ERPos+,1e,
20180826-175345_318_live,1,8,I can't wait for my check to come so I can help out in other countries!,EEPos+,2e,
20180826-175345_318_live,0,9,Ok. how much of your payment will you donate now?,EENeg-,4b,
20180826-175345_318_live,1,9,I can't donate now because my money is not here yet.,EENeg+,3c,
20180826-180009_407_live,0,0,Hi!,,,
20180826-180009_407_live,0,0,Have you heard of an organization called Save the Children?,,,
20180826-180009_407_live,1,0,"I think I have once before, in a grocery store I believe",ERPos+,1d,
20180826-180009_407_live,0,1,Do you mind if i give you a little information about them?,EENeg-,4a,
20180826-180009_407_live,1,1,"Sure, go ahead",ERPos+,1c,
20180826-180009_407_live,0,2,"Just some ver basic info, Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",ERPos+,1a,
20180826-180009_407_live,1,2,Are they a non profit organization?,ERNeg-,8,
20180826-180009_407_live,0,3,Yes they are!,,,
20180826-180009_407_live,0,3,They work 100% on donated funds.,ERPos+,1a,
20180826-180009_407_live,0,3,"There is a lack of support for children in developing countries, especially in war zones.",,,
20180826-180009_407_live,0,3,"For instance, millions of Syrian children have grown up facing the daily threat of violence.",,,
20180826-180009_407_live,0,3,"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",,,
20180826-180009_407_live,0,3,Your donation can address such problems.,EEPos+,2b,
20180826-180009_407_live,1,3,"Oh wow, shocking news.",ERPos+,1e,
20180826-180009_407_live,1,3,Do you know how many children have been helped due to this organization?,ERNeg-,8,
20180826-180009_407_live,0,4,According t0 their yearend report they were able to reach 155 million children.,ERPos+,1a,
20180826-180009_407_live,0,4,Over 200k of those kids were in the US.,ERPos+,1a,
20180826-180009_407_live,1,4,Thats awesome!,ERPos+,1d,
20180826-180009_407_live,1,4,Are you apart of this organization or just support them?,,,
20180826-180009_407_live,0,5,I am just a supporter but I would like to ask how much do you like to donate to the charity?,EENeg-,4b,
20180826-180009_407_live,0,5,Your donation will be directly deducted from your task payment.,,,
20180826-180009_407_live,0,5,You can choose any amount from $0 to all your payment,,,
20180826-180009_407_live,1,5,"The payment of the task is 30 cents, I would donate 10c",ERPos+,1c,
20180826-180009_407_live,0,6,That is awesome!,EEPos+,2a,
20180826-180009_407_live,0,6,Thank you so much! What are you hoping your donation will help with?,EEPos+,2a,
20180826-180009_407_live,1,6,its not a lot but hopefully go towards someone else donation to help children in war zone areas,,,
20180826-180009_407_live,0,7,I am so grateful for your donation.,EEPos+,2a,
20180826-180009_407_live,0,7,It means alot to this rganization.,EEPos+,2a,
20180826-180009_407_live,1,7,"Of course, its a great organization to support",ERPos+,1d,
20180826-180009_407_live,0,8,Have you donated to a similar charity?,,,
20180826-180009_407_live,1,8,"Yes, a few times before",EEPos+,2e,
20180826-180009_407_live,0,9,"Again, I really appreciate it and hope you have a great evening!",EEPos+,2a,
20180826-180009_407_live,1,9,"Thank you, you too!",,,
20180904-012828_299_live,0,0,Hello,,,
20180904-012828_299_live,1,0,Hi there how are you?,,,
20180904-012828_299_live,0,1,Great and you,,,
20180904-012828_299_live,1,1,"I am doing fine, thanks for asking.",,,
20180904-012828_299_live,0,2,Can I ask you a question?,,,
20180904-012828_299_live,1,2,You sure can,,,
20180904-012828_299_live,0,3,Do you have any kids?,,,
20180904-012828_299_live,1,3,I don't have any children but there are many children in my family.,,,
20180904-012828_299_live,0,4,"Im sure you love them as your own, I have a big family do you?",,,
20180904-012828_299_live,1,4,"I do have a big family, I enjoy it at times, other times I don't",,,
20180904-012828_299_live,0,5,I truly understand.,EEPos+,2c,
20180904-012828_299_live,0,5,Have you heard of this charity?,,,
20180904-012828_299_live,1,5,Yes I do.,ERPos+,1d,
20180904-012828_299_live,0,6,It's great to know that there are others who feel the same way.,ERPos+,1a,
20180904-012828_299_live,0,6,Have you heard of Save the Children?,,,
20180904-012828_299_live,1,6,No I haven't.,ERPos-,5b,
20180904-012828_299_live,1,6,Could you QUICKLY tell me about it,,,
20180904-012828_299_live,0,7,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",ERPos+,1a,
20180904-012828_299_live,1,7,Okay that sounds nice and an important service,ERPos+,1a,
20180904-012828_299_live,0,8,And the money raised helps feed and clothe them.,ERPos+,1a,
20180904-012828_299_live,0,8,Its a lot of children that are starving and need our help.,EEPos+,2b,
